fecha,estacion,no2,pm10,o3,temperatura
2026-04-15,Ejea de los Caballeros,27.2,20.9,84.8,"11,7"
2026-04-15,Luna,9.8,5.8,104.8,"11,0"
2026-04-15,Sádaba,16.3,15.9,108.6,"14,3"
2026-04-15,Tauste,27.5,41.1,66.8,"10,6"
2026-04-16,Ejea de los Caballeros,17.0,26.4,87.9,"24,5"
2026-04-16,Luna,11.8,6.7,100.2,"12,8"
2026-04-16,Sádaba,7.6,19.9,93.9,"9,7"
2026-04-16,Tauste,30.8,31.8,67.9,"14,7"
2026-04-17,Ejea de los Caballeros,14.6,29.8,82.5,"11,1"
2026-04-17,Luna,14.3,20.9,99.4,"17,0"
2026-04-17,Sádaba,12.8,20.9,96.8,"11,5"
2026-04-17,Tauste,25.0,27.7,73.4,"13,4"
2026-04-18,Ejea de los Caballeros,20.3,32.8,90.4,"19,0"
2026-04-18,Luna,9.1,24.7,95.9,"17,6"
2026-04-18,Sádaba,3.0,20.3,83.5,"11,8"
2026-04-18,Sádaba,3.0,20.3,83.5,"11,8"
2026-04-18,Tauste,17.0,36.6,74.1,"10,7"
2026-04-19,Ejea de los Caballeros,21.8,24.3,62.9,"16,0"
2026-04-19,Luna,8.9,17.6,87.0,"16,1"
2026-04-19,Sádaba,11.6,18.6,105.6,"12,9"
2026-04-19,TAUSTE,16.9,30.7,56.2,"13,6"
2026-04-20,Ejea de los Caballeros ,22.1,25.2,80.4,"16,7"
2026-04-20,Luna,13.8,30.0,87.8,"13,7"
2026-04-20,Sádaba,3.8,15.9,81.3,"17,5"
2026-04-20,Tauste,28.2,27.3,56.4,"18,3"
2026-04-20,Tauste,28.2,27.3,56.4,"18,3"
2026-04-21,Ejea de los Caballeros,16.1,31.1,70.5,"13,4"
2026-04-21,Luna ,8.2,18.9,81.2,"13,0"
2026-04-21,Sádaba,17.3,19.2,96.2,"99,0"
2026-04-21,Tauste,33.7,33.7,72.9,"16,4"
2026-04-22,Ejea de los Caballeros,21.2,46.5,89.7,"18,9"
2026-04-22,Luna,11.9,14.0,101.7,"13,3"
2026-04-22,Sádaba,7.3,18.3,111.1,"17,8"
2026-04-22,Tauste,29.6,24.4,67.0,"16,4"
2026-04-23,Ejea de los Caballeros,,21.8,77.7,"21,6"
2026-04-23,Luna,11.7,13.8,105.0,"12,5"
2026-04-23,Sádaba,9.8,8.8,94.7,"12,6"
2026-04-23,Tauste,18.0,31.7,71.6,"10,0"
2026-04-24,Ejea de los Caballeros,20.0,28.6,90.8,"11,8"
2026-04-24,Luna,14.1,6.2,93.6,"16,8"
2026-04-24,Sádaba,8.0,18.3,100.7,"16,0"
2026-04-24,Tauste,18.9,22.0,76.9,"17,5"
2026-04-25,Ejea de los Caballeros,22.8,29.9,82.7,"16,0"
2026-04-25,Luna,4.7,34.9,104.1,"12,6"
2026-04-25,Sádaba,,10.7,93.3,"16,6"
2026-04-25,Tauste,23.8,27.4,80.8,"13,3"
2026-04-26,Ejea de los Caballeros,15.6,37.2,78.8,"17,9"
2026-04-26,Luna,7.2,11.9,95.2,"12,6"
2026-04-26,Sádaba,,9.6,86.3,"10,7"
2026-04-26,Tauste,22.7,24.6,66.9,"15,4"
2026-04-27,Ejea de los Caballeros ,23.2,28.4,67.5,"14,9"
2026-04-27,Luna,6.1,27.1,86.7,"16,8"
2026-04-27,Sádaba,8.8,,101.8,"14,2"
2026-04-27,Tauste,26.3,27.1,74.5,"16,1"
2026-04-28,Ejea de los Caballeros,24.2,,69.6,"10,5"
2026-04-28,Luna,12.5,27.8,95.6,"22,5"
2026-04-28,Sádaba,13.0,27.5,97.6,"13,1"
2026-04-28,Tauste,27.2,35.1,81.0,"11,0"
2026-04-29,Ejea de los Caballeros,24.7,29.2,84.7,"14,5"
2026-04-29,Luna,8.3,15.2,93.3,"17,2"
2026-04-29,Sádaba,9.1,20.3,109.0,"21,3"
2026-04-29,Tauste,25.5,27.4,53.8,"16,7"
2026-04-30,Ejea de los Caballeros,12.0,24.8,72.3,"17,7"
2026-04-30,Luna,5.1,24.3,106.7,"16,5"
2026-04-30,Sádaba,8.2,28.8,88.1,"24,0"
2026-04-30,Tauste,32.5,33.4,61.6,"17,5"
2026-05-01,Ejea de los Caballeros,19.2,26.5,75.8,"20,8"
2026-05-01,Luna,12.1,12.9,94.1,"15,7"
2026-05-01,Sádaba,1.6,6.5,99.6,"17,8"
2026-05-01,Tauste,30.8,40.1,78.8,"14,7"
2026-05-02,Ejea de los Caballeros,18.5,32.9,98.9,"17,6"
2026-05-02,Luna,10.1,16.2,94.4,"24,6"
2026-05-02,Sádaba,9.2,24.0,99.2,"15,3"
2026-05-02,Tauste,18.2,29.7,81.2,"16,0"
2026-05-03,Ejea de los Caballeros,18.4,15.6,85.5,"19,8"
2026-05-03,LUNA,10.0,19.4,109.7,"15,8"
2026-05-03,Sádaba,6.2,2,101.8,"20,1"
2026-05-03,Tauste,22.0,25.6,81.2,"15,6"
2026-05-04,Ejea de los Caballeros,18.9,17.1,74.7,"22,7"
2026-05-04,Luna,,23.9,93.3,"11,6"
2026-05-04,Sádaba,7.6,25.0,95.0,"22,1"
2026-05-04,Tauste,27.0,40.1,70.3,"18,3"
2026-05-05,Ejea de los Caballeros,24.1,8.9,72.3,"14,1"
2026-05-05,Luna,2.7,11.3,104.0,"17,0"
2026-05-05,Sádaba,8.4,17.8,118.7,"16,0"
2026-05-05,Tauste,20.5,29.0,77.9,"23,0"
2026-05-06,Ejea de los Caballeros ,15.7,13.6,87.6,"17,5"
2026-05-06,Luna,8.3,11.7,110.7,"16,1"
2026-05-06,Sádaba,2.2,23.1,95.8,"19,8"
2026-05-06,Tauste,23.2,38.7,88.5,"23,1"
2026-05-07,Ejea de los Caballeros,21.9,23.0,83.9,"19,1"
2026-05-07,Luna,8.6,19.5,95.4,"17,9"
2026-05-07,Sadaba,6.3,17.1,111.8,"20,5"
2026-05-07,Tauste,26.1,43.4,76.1,"20,7"
2026-05-08,Ejea de los Caballeros,13.3,15.9,72.0,"17,9"
2026-05-08,Luna,7.3,15.0,113.1,"19,6"
2026-05-08,Sádaba,7.2,28.1,112.2,"17,2"
2026-05-08,Tauste,28.9,22.2,70.3,"20,6"
2026-05-09,Ejea de los Caballeros,22.1,35.1,91.8,"21,1"
2026-05-09,Luna,10.5,21.6,124.0,"17,3"
2026-05-09,Sádaba,9.4,21.9,104.3,"15,4"
2026-05-09,Tauste,12.6,29.0,78.3,"18,4"
2026-05-10,Ejea de los Caballeros,17.7,24.0,87.8,"19,0"
2026-05-10,Luna,8.9,19.3,112.5,"19,2"
2026-05-10,Sádaba,8.4,26.4,98.1,"19,0"
2026-05-10,Tauste,21.6,,80.1,"17,0"
2026-05-11,Ejea de los Caballeros,20.2,19.8,90.5,"17,1"
2026-05-11,Luna,12.6,29.5,105.8,"19,4"
2026-05-11,Sádaba,10.7,31.5,95.2,"16,6"
2026-05-11,Tauste,27.7,26.6,77.5,"19,6"
2026-05-12,Ejea de los Caballeros,26.3,25.2,104.2,"21,7"
2026-05-12,Luna,4.2,28.7,137.4,"19,1"
2026-05-12,Sádaba,5.3,28.4,109.0,"20,1"
2026-05-12,Tauste,19.7,26.8,87.4,"17,4"
2026-05-13,Ejea de los Caballeros,14.2,18.3,91.3,"16,4"
2026-05-13,Luna,10.9,22.2,-12.0,"17,8"
2026-05-13,Sádaba,17.8,,98.5,"23,9"
2026-05-13,Tauste,30.1,25.4,86.2,"19,1"
2026-05-14,Ejea de los Caballeros,14.4,35.2,96.8,"18,1"
2026-05-14,Ejea de los Caballeros,14.4,35.2,96.8,"18,1"
2026-05-14,Luna ,8.7,24.5,111.6,"23,1"
2026-05-14,Sadaba,14.5,9.2,110.5,"19,8"
2026-05-14,Tauste,24.9,,78.7,"20,3"
2026-05-15,Ejea de los Caballeros,21.5,20.3,95.4,"16,5"
2026-05-15,Luna,8.8,16.3,122.6,"17,9"
2026-05-15,Sádaba,5.0,32.5,108.6,"18,2"
2026-05-15,Tauste,29.0,42.8,95.8,"15,8"
2026-05-16,Ejea de los Caballeros,13.4,32.5,80.4,"23,4"
2026-05-16,Luna,9.9,28.7,121.2,"19,4"
2026-05-16,Sádaba,9.1,23.1,88.1,"17,9"
2026-05-16,Tauste,16.9,39.5,90.1,"21,1"
2026-05-17,Ejea de los Caballeros,20.0,39.6,92.4,"12,2"
2026-05-17,Luna,3.3,16.6,113.6,"15,2"
2026-05-17,Sádaba,,13.7,97.2,"19,0"
2026-05-17,Tauste,17.7,40.4,93.1,"19,1"
2026-05-18,Ejea de los Caballeros,16.5,72.3,92.6,"17,2"
2026-05-18,Luna,10.4,61.3,99.3,"21,4"
2026-05-18,Sádaba,7.6,61.9,120.4,"18,3"
2026-05-18,Tauste,26.1,58.6,79.4,"21,9"
2026-05-19,Ejea de los Caballeros,19.2,59.3,92.4,"18,0"
2026-05-19,Luna,10.2,65.6,115.3,"18,5"
2026-05-19,Sádaba,1,65.3,112.9,"19,5"
2026-05-19,Tauste,27.2,54.4,84.2,"20,4"
2026-05-20,EJEA DE LOS CABALLEROS,12.7,67.4,101.2,"17,5"
2026-05-20,LUNA,8.7,52.7,117.8,"21,3"
2026-05-20,Sádaba,9.4,46.4,117.5,"19,5"
2026-05-20,Tauste,23.3,67.4,77.0,"19,9"
2026-05-21,Ejea de los Caballeros,19.7,64.2,96.6,"21,9"
2026-05-21,Luna,3.2,54.4,111.6,"25,0"
2026-05-21,Sádaba,10.5,52.2,104.0,"22,0"
2026-05-21,Tauste,29.6,62.0,89.1,"18,4"
2026-05-22,Ejea de los Caballeros,11.9,28.3,97.0,"22,9"
2026-05-22,Luna,10.4,36.6,118.2,"14,4"
2026-05-22,Sádaba,11.8,13.3,108.9,"24,5"
2026-05-22,Tauste,25.6,31.4,90.4,"24,5"
2026-05-23,Ejea de los Caballeros,22.0,33.7,106.2,"18,7"
2026-05-23,Luna,14.6,15.9,115.4,"24,4"
2026-05-23,Sádaba,14.0,7.4,114.2,"14,1"
2026-05-23,Tauste,19.4,14.8,81.9,"23,5"
2026-05-24,Ejea de los Caballeros,21.5,20.7,99.5,"20,5"
2026-05-24,LUNA,7.9,14.0,108.7,"22,6"
2026-05-24,Sádaba,8.3,17.7,106.7,"24,8"
2026-05-24,Tauste,13.3,24.0,91.5,"22,2"
2026-05-25,Ejea de los Caballeros,18.6,33.2,111.4,"19,2"
2026-05-25,Luna,10.6,14.3,91.8,"24,3"
2026-05-25,Sádaba,9.7,23.2,122.6,"21,8"
2026-05-25,tauste,21.9,30.4,90.7,"17,7"
2026-05-26,Ejea de los Caballeros,14.0,28.8,96.3,"24,5"
2026-05-26,Luna,10.6,6.5,118.0,"18,6"
2026-05-26,Sadaba,14.0,16.6,115.1,"25,4"
2026-05-26,Tauste,20.4,27.8,81.5,"20,8"
2026-05-27,Ejea de los Caballeros,23.0,25.5,85.2,"17,7"
2026-05-27,Luna,5.0,21.7,119.2,"23,9"
2026-05-27,Sádaba,11.9,24.8,118.2,"22,6"
2026-05-27,Tauste,31.7,38.9,70.1,"27,4"
2026-05-28,Ejea de los Caballeros,15.5,26.4,85.8,"22,0"
2026-05-28,Luna,6.5,26.2,118.3,"22,2"
2026-05-28,Sádaba,15.9,28.1,101.4,"19,1"
2026-05-28,Tauste,26.9,30.6,87.1,"22,3"
2026-05-29,Ejea de los Caballeros,14.9,29.8,100.0,"19,3"
2026-05-29,Luna,3.1,11.6,118.3,"23,4"
2026-05-29,Sádaba,9.4,-999,127.3,"22,4"
2026-05-29,Tauste,27.0,31.9,97.3,"21,8"
2026-05-30,Ejea de los Caballeros,20.3,41.6,100.0,"14,7"
2026-05-30,Luna,3.9,19.4,123.7,"21,1"
2026-05-30,Sádaba,3.7,28.3,118.4,"18,4"
2026-05-30,Tauste,18.9,28.3,88.5,"27,4"
2026-05-31,Ejea de los Caballeros,17.3,30.2,95.9,"26,9"
2026-05-31,Luna,8.9,20.0,115.5,"23,1"
2026-05-31,Sádaba,2.9,26.4,121.0,"19,7"
2026-05-31,Tauste,12.8,,85.7,"22,1"
2026-06-01,Ejea de los Caballeros ,25.2,42.2,110.9,"17,8"
2026-06-01,Luna,11.9,15.4,122.1,"20,4"
2026-06-01,Sádaba,7.2,26.1,117.2,"19,5"
2026-06-01,Tauste,23.7,24.1,86.2,"20,3"
2026-06-02,Ejea de los Caballeros,16.7,16.7,107.7,"20,7"
2026-06-02,Luna,4.6,17.3,125.9,"22,6"
2026-06-02,Sádaba,6.9,22.6,111.3,"21,4"
2026-06-02,Tauste,29.1,34.0,103.7,"25,7"
2026-06-03,Ejea de los Caballeros,13.2,31.8,105.2,"20,2"
2026-06-03,Luna,8.5,16.6,114.1,"22,2"
2026-06-03,Sádaba,11.5,,119.8,"19,4"
2026-06-03,Tauste,28.2,24.0,95.2,"20,5"
2026-06-04,Ejea de los Caballeros ,21.1,31.1,94.9,"20,3"
2026-06-04,Luna,6.3,22.4,114.0,"19,4"
2026-06-04,Sádaba,5.3,13.2,122.3,"25,6"
2026-06-04,Tauste,22.0,32.0,97.5,"20,5"
2026-06-05,Ejea de los Caballeros,16.2,25.6,105.0,"19,5"
2026-06-05,Luna,3.2,32.1,110.5,"23,3"
2026-06-05,Sádaba,2.4,9.4,121.2,"22,2"
2026-06-05,Tauste,20.9,35.4,95.0,"22,7"
2026-06-06,Ejea de los Caballeros,13.3,40.3,87.4,"20,2"
2026-06-06,Luna,4.8,17.5,116.9,"21,7"
2026-06-06,Luna,4.8,17.5,116.9,"21,7"
2026-06-06,Sádaba,6.4,25.5,125.3,"20,1"
2026-06-06,Tauste,12.7,,94.0,"23,5"
2026-06-07,Ejea de los Caballeros,18.1,30.1,109.4,"22,0"
2026-06-07,Luna ,6.2,28.8,121.5,"23,5"
2026-06-07,Sádaba,4.5,5.0,119.1,"21,1"
2026-06-07,Tauste,15.8,31.3,102.4,"24,2"
2026-06-08,Ejea de los Caballeros,15.3,39.4,113.1,"16,6"
2026-06-08,Luna,,13.0,122.6,"24,2"
2026-06-08,Sádaba,6.6,27.9,118.1,"23,2"
2026-06-08,Tauste,22.7,26.8,100.0,"22,5"
2026-06-09,Ejea de los Caballeros,,33.7,111.1,"23,7"
2026-06-09,Luna,5.3,22.3,113.2,"24,6"
2026-06-09,Sádaba,3.6,18.8,109.5,"23,6"
2026-06-09,Tauste,23.5,27.3,99.4,"23,6"
2026-06-10,Ejea de los Caballeros,,27.6,99.8,"19,8"
2026-06-10,Luna,7.6,17.5,115.9,"23,8"
2026-06-10,Sádaba,11.7,15.5,109.4,"25,0"
2026-06-10,Tauste,20.6,27.9,81.6,"22,9"
2026-06-11,Ejea de los Caballeros,15.5,27.0,106.0,"23,2"
2026-06-11,Luna,11.7,7.3,119.1,"23,9"
2026-06-11,Sádaba,9.9,15.8,119.6,"26,1"
2026-06-11,Tauste,23.1,32.8,99.2,"24,9"
2026-06-12,Ejea de los Caballeros,18.2,26.5,115.1,"20,0"
2026-06-12,Luna,13.6,16.3,131.8,"25,9"
2026-06-12,Luna,13.6,16.3,131.8,"25,9"
2026-06-12,Sádaba,7.6,19.8,127.7,"26,2"
2026-06-12,Tauste,26.1,1250.0,91.2,"27,2"
2026-06-13,EJEA DE LOS CABALLEROS,10.5,37.2,95.3,"25,3"
2026-06-13,Luna,2.6,14.6,126.9,"15,4"
2026-06-13,Sádaba,8.0,26.9,123.5,"24,0"
2026-06-13,Tauste,14.5,30.7,90.9,"16,9"
2026-06-14,Ejea de los Caballeros,13.9,31.9,116.3,"22,3"
2026-06-14,Ejea de los Caballeros,13.9,31.9,116.3,"22,3"
2026-06-14,Luna,9.8,2.4,120.5,"20,3"
2026-06-14,Sádaba,5.8,20.5,128.1,"18,7"
2026-06-14,Tauste,5.0,28.9,108.2,"22,0"
2026-06-15,EJEA DE LOS CABALLEROS,20.5,24.5,109.6,"27,1"
2026-06-15,Luna,4.1,18.5,123.8,"25,9"
2026-06-15, Sádaba,14.0,17.4,125.0,"26,2"
2026-06-15,Tauste,24.0,36.4,91.2,"25,0"
2026-06-16,Ejea de los Caballeros,20.5,22.5,100.4,"22,4"
2026-06-16,Luna,9.1,15.1,107.4,"24,4"
2026-06-16,Sádaba,7.4,20.5,120.6,"26,7"
2026-06-16,Tauste,19.1,29.6,101.4,"24,9"
2026-06-17,Ejea de los Caballeros,12.8,33.1,93.5,"25,3"
2026-06-17,Luna,7.0,21.8,118.3,"25,4"
2026-06-17,Sádaba,12.2,16.0,123.6,"25,4"
2026-06-17,Tauste,18.3,47.9,98.1,"23,2"
2026-06-18,Ejea de los Caballeros,13.0,35.3,113.4,"26,1"
2026-06-18,Luna,1.2,-999,118.1,"25,3"
2026-06-18,Sádaba,6.9,11.1,126.8,"22,4"
2026-06-18,Tauste,24.9,26.1,94.9,"20,8"
2026-06-19,Ejea de los Caballeros,20.7,27.4,107.5,"21,8"
2026-06-19,Luna,2.8,21.0,134.2,"29,6"
2026-06-19,Sádaba,11.6,13.5,136.1,"27,7"
2026-06-19,Tauste,31.2,36.5,90.9,"26,2"
2026-06-20,Ejea de los Caballeros,8.6,24.1,95.9,"25,7"
2026-06-20,Luna,7.9,17.9,116.7,"26,6"
2026-06-20,Sádaba,15.8,,128.0,"23,4"
2026-06-20,Tauste,,32.8,91.5,"23,3"
2026-06-21,Ejea de los Caballeros,7.4,32.3,108.0,"30,7"
2026-06-21,Luna,11.1,20.1,121.6,"23,2"
2026-06-21,Sádaba,5.8,17.6,127.8,"27,3"
2026-06-21,Tauste,20.4,27.1,109.7,"24,1"
2026-06-22,Ejea de los Caballeros,14.0,22.5,94.6,"21,9"
2026-06-22,Luna,4.3,12.3,126.6,"24,5"
2026-06-22,Sádaba,1,20.0,127.7,"23,7"
2026-06-22,Tauste,30.1,36.0,100.0,"22,6"
2026-06-23,Ejea de los Caballeros,15.7,29.5,98.8,"22,8"
2026-06-23,LUNA,5.6,24.9,121.3,"25,7"
2026-06-23,Sádaba,6.7,15.1,132.2,"23,5"
2026-06-23,Tauste,18.4,29.0,104.2,"28,1"
2026-06-24,Ejea de los Caballeros,13.3,27.1,106.1,"22,3"
2026-06-24,Luna,2.0,13.3,124.3,"27,9"
2026-06-24,Sádaba,7.1,17.9,114.4,"24,8"
2026-06-24,Tauste,26.2,14.6,97.6,"24,7"
2026-06-25,Ejea de los Caballeros,15.0,15.4,110.5,"23,1"
2026-06-25,Luna,1,25.3,118.2,"24,2"
2026-06-25,Sádaba,1.2,20.1,134.8,"30,3"
2026-06-25,Tauste,,29.6,92.5,"21,5"
2026-06-26,Ejea de los Caballeros,12.2,29.7,109.4,"27,4"
2026-06-26,Luna,10.6,13.5,130.3,"28,0"
2026-06-26,Sádaba,6.2,,128.1,"21,1"
2026-06-26,Tauste,21.8,24.9,111.2,"22,8"
2026-06-27,Ejea de los Caballeros,16.6,18.0,127.5,"23,1"
2026-06-27,Luna,5.2,24.0,138.8,"25,0"
2026-06-27,Sádaba,4.9,29.2,125.1,"26,3"
2026-06-27,Tauste,,26.9,103.6,"28,3"
2026-06-28,Ejea de los Caballeros,20.1,19.7,120.0,"24,4"
2026-06-28,Luna,1.6,26.4,142.3,"25,8"
2026-06-28,Sádaba,3.9,46.0,110.3,"24,2"
2026-06-28,Tauste,16.2,-999,93.5,"25,0"
2026-06-29,Ejea de los Caballeros,13.8,23.7,122.6,"30,8"
2026-06-29,Luna,10.0,20.5,138.0,"27,5"
2026-06-29, Sádaba,7.5,20.9,132.2,"29,7"
2026-06-29,Tauste,18.5,37.4,100.7,"23,3"
2026-06-30,EJEA DE LOS CABALLEROS,16.5,37.8,117.4,"22,9"
2026-06-30,Luna,11.0,33.8,124.8,"20,1"
2026-06-30,Sádaba,4.5,15.1,134.1,"20,9"
2026-06-30,Tauste,,34.4,106.8,"28,0"
