id,localidad,tipo,superficie_m2,habitaciones,banos,antiguedad_anios,planta,ascensor,estado,calificacion_energetica,calefaccion,visitas_anuncio,precio_mes,dias_hasta_alquiler,contacto_anunciante,alquilada_rapido
VIV-100,Ejea de los Caballeros,piso,91,3,2,21,4,sí,bueno,B,sí,31,500,50,anuncio100@example.org,no
VIV-101,Tauste,piso,70,2,1,20,3,sí,bueno,A,sí,22,440,89,anuncio101@example.org,no
VIV-102,Uncastillo,casa,164,5,2,45,0,no,reformado,D,sí,11,585,61,anuncio102@example.org,no
VIV-103,Ejea de los Caballeros,piso,105,4,2,18,0,sí,nuevo,C,sí,21,675,240,anuncio103@example.org,no
VIV-104,Ejea de los Caballeros,casa,250,6,3,33,0,no,bueno,C,no,4,965,2,anuncio104@example.org,sí
VIV-105,Ejea de los Caballeros,piso,121,4,2,16,2,sí,reformado,A,sí,23,710,56,anuncio105@example.org,no
VIV-106,Ejea de los Caballeros,piso,93,2,2,7,0,no,bueno,B,no,5,435,1,anuncio106@example.org,sí
VIV-107,Luna,adosado,166,6,2,62,0,no,a reformar,D,no,5,365,1,anuncio107@example.org,sí
VIV-108,Ejea de los Caballeros,piso,93,3,2,27,5,sí,bueno,A,sí,7,490,16,anuncio108@example.org,sí
VIV-109,Ejea de los Caballeros,piso,123,3,2,69,0,sí,a reformar,F,no,5,510,4,anuncio109@example.org,sí
VIV-110,Ejea de los Caballeros,casa,138,5,2,16,0,no,a reformar,B,sí,6,460,1,anuncio110@example.org,sí
VIV-111,Ejea de los Caballeros,piso,116,4,2,56,2,no,reformado,D,sí,6,440,2,anuncio111@example.org,sí
VIV-112,Luna,piso,117,3,2,58,2,sí,reformado,D,sí,14,525,136,anuncio112@example.org,no
VIV-113,Uncastillo,adosado,137,5,2,26,0,no,bueno,A,sí,10,495,89,anuncio113@example.org,no
VIV-114,Tauste,casa,232,6,3,95,0,no,bueno,G,no,7,785,2,anuncio114@example.org,sí
VIV-115,Erla,piso,90,3,2,35,3,sí,bueno,D,sí,7,320,55,anuncio115@example.org,no
VIV-116,Ejea de los Caballeros,casa,252,6,3,18,0,no,reformado,A,sí,18,1250,19,anuncio116@example.org,sí
VIV-117,Luna,piso,55,3,1,39,1,no,a reformar,D,sí,2,175,8,anuncio117@example.org,sí
VIV-118,Sádaba,piso,70,2,1,86,2,sí,reformado,G,no,17,340,169,anuncio118@example.org,no
VIV-119,Ejea de los Caballeros,casa,216,6,3,34,0,no,bueno,C,sí,14,1045,16,anuncio119@example.org,sí
VIV-120,Ejea de los Caballeros,casa,245,6,3,21,0,no,bueno,B,sí,5,1125,9,anuncio120@example.org,sí
VIV-121,Luna,piso,102,3,2,48,5,no,bueno,C,sí,13,370,39,anuncio121@example.org,no
VIV-122,Sádaba,piso,53,1,1,23,2,sí,bueno,C,sí,6,225,23,anuncio122@example.org,sí
VIV-123,Ejea de los Caballeros,casa,198,6,3,53,0,no,bueno,D,sí,7,900,7,anuncio123@example.org,sí
VIV-124,Tauste,adosado,111,4,2,15,0,no,bueno,C,sí,10,475,4,anuncio124@example.org,sí
VIV-125,Sádaba,casa,179,5,3,32,0,no,bueno,D,sí,3,605,6,anuncio125@example.org,sí
VIV-126,Sádaba,piso,127,4,2,35,2,sí,bueno,B,sí,11,510,13,anuncio126@example.org,sí
VIV-127,Ejea de los Caballeros,piso,87,3,2,11,1,no,bueno,B,sí,11,510,42,anuncio127@example.org,no
VIV-128,Sádaba,casa,153,5,2,14,0,no,bueno,B,sí,7,585,20,anuncio128@example.org,sí
VIV-129,Tauste,casa,177,5,3,63,0,no,reformado,E,no,3,620,1,anuncio129@example.org,sí
VIV-130,Sádaba,piso,90,2,2,15,5,no,reformado,A,sí,12,490,156,anuncio130@example.org,no
VIV-131,Tauste,piso,82,3,2,50,1,no,bueno,D,sí,1,315,1,anuncio131@example.org,sí
VIV-132,Tauste,casa,198,6,3,14,0,no,reformado,B,sí,22,965,46,anuncio132@example.org,no
VIV-133,Erla,piso,125,4,2,23,2,sí,reformado,C,sí,6,450,77,anuncio133@example.org,no
VIV-134,Tauste,casa,141,4,2,5,0,no,reformado,C,sí,6,655,8,anuncio134@example.org,sí
VIV-135,Ejea de los Caballeros,adosado,173,6,3,28,0,no,bueno,C,sí,11,930,29,anuncio135@example.org,sí
VIV-136,Biota,piso,79,3,1,18,2,sí,reformado,C,sí,13,330,177,anuncio136@example.org,no
VIV-137,Tauste,piso,84,3,2,35,0,no,nuevo,C,sí,13,400,17,anuncio137@example.org,sí
VIV-138,Ejea de los Caballeros,piso,53,1,1,36,0,sí,bueno,C,sí,11,315,36,anuncio138@example.org,no
VIV-139,Sádaba,piso,71,3,1,12,2,sí,a reformar,A,sí,1,260,1,anuncio139@example.org,sí
VIV-140,Tauste,piso,127,3,2,6,2,no,reformado,A,sí,25,700,176,anuncio140@example.org,no
VIV-141,Uncastillo,casa,184,6,3,32,0,no,bueno,C,sí,7,600,39,anuncio141@example.org,no
VIV-142,Tauste,casa,186,5,3,12,0,no,bueno,B,sí,13,885,19,anuncio142@example.org,sí
VIV-143,Biota,casa,220,6,3,44,0,no,bueno,E,sí,5,650,8,anuncio143@example.org,sí
VIV-144,Ejea de los Caballeros,adosado,109,3,2,29,0,no,bueno,D,no,4,460,2,anuncio144@example.org,sí
VIV-145,Tauste,piso,96,3,2,61,3,sí,a reformar,F,sí,1,425,3,anuncio145@example.org,sí
VIV-146,Luna,piso,76,3,1,63,4,sí,a reformar,D,no,3,165,1,anuncio146@example.org,sí
VIV-147,Ejea de los Caballeros,adosado,126,4,2,95,0,no,a reformar,G,no,2,375,1,anuncio147@example.org,sí
VIV-148,Tauste,adosado,140,4,2,64,0,no,bueno,E,sí,10,580,10,anuncio148@example.org,sí
VIV-149,Luna,piso,60,2,1,22,3,no,a reformar,D,sí,5,190,5,anuncio149@example.org,sí
VIV-150,Ejea de los Caballeros,casa,119,5,2,24,0,no,a reformar,C,sí,1,465,2,anuncio150@example.org,sí
VIV-151,Tauste,piso,76,3,1,35,0,sí,bueno,D,no,19,380,30,anuncio151@example.org,sí
VIV-152,Ejea de los Caballeros,adosado,106,4,2,10,0,no,a reformar,B,sí,8,405,1,anuncio152@example.org,sí
VIV-153,Ejea de los Caballeros,casa,228,6,3,55,0,no,reformado,D,no,5,860,1,anuncio153@example.org,sí
VIV-154,Biota,piso,123,4,2,28,2,sí,bueno,A,sí,8,450,53,anuncio154@example.org,no
VIV-155,Sádaba,casa,245,6,3,29,0,no,reformado,C,sí,4,845,5,anuncio155@example.org,sí
VIV-156,Tauste,piso,96,3,2,64,0,no,reformado,E,no,10,425,8,anuncio156@example.org,sí
VIV-157,Biota,casa,141,4,2,54,0,no,bueno,C,no,4,400,14,anuncio157@example.org,sí
VIV-158,Ejea de los Caballeros,piso,128,4,2,25,1,no,bueno,C,sí,7,695,32,anuncio158@example.org,no
VIV-159,Tauste,casa,208,6,3,21,0,no,bueno,D,sí,5,835,2,anuncio159@example.org,sí
VIV-160,Sos del Rey Católico,piso,126,4,2,35,0,no,a reformar,E,sí,8,455,17,anuncio160@example.org,sí
VIV-161,Ejea de los Caballeros,casa,210,6,3,16,0,no,reformado,D,no,4,1030,4,anuncio161@example.org,sí
VIV-162,Tauste,piso,102,3,2,18,2,sí,reformado,B,sí,25,590,60,anuncio162@example.org,no
VIV-163,Sádaba,piso,78,2,1,28,5,sí,bueno,B,sí,7,375,49,anuncio163@example.org,no
VIV-164,Biota,adosado,171,5,3,24,0,no,bueno,C,sí,5,580,23,anuncio164@example.org,sí
VIV-165,Sos del Rey Católico,casa,219,6,3,49,0,no,reformado,E,no,4,655,1,anuncio165@example.org,sí
VIV-166,Ejea de los Caballeros,casa,161,5,2,40,0,no,bueno,D,sí,11,815,22,anuncio166@example.org,sí
VIV-167,Tauste,casa,183,6,3,25,0,no,bueno,C,sí,8,755,6,anuncio167@example.org,sí
VIV-168,Sádaba,casa,178,5,3,29,0,no,bueno,C,sí,11,675,18,anuncio168@example.org,sí
VIV-169,Luna,casa,242,6,3,36,0,no,a reformar,D,sí,6,710,10,anuncio169@example.org,sí
VIV-170,Ejea de los Caballeros,casa,124,4,2,28,0,no,bueno,B,sí,0,505,1,anuncio170@example.org,sí
VIV-171,Tauste,casa,242,6,3,65,0,no,reformado,E,sí,9,995,10,anuncio171@example.org,sí
VIV-172,Tauste,piso,51,2,1,88,4,sí,reformado,G,sí,6,250,6,anuncio172@example.org,sí
VIV-173,Biota,adosado,116,4,2,23,0,no,bueno,A,sí,11,415,70,anuncio173@example.org,no
VIV-174,Tauste,piso,109,3,2,95,4,sí,reformado,G,sí,16,590,40,anuncio174@example.org,no
VIV-175,Ejea de los Caballeros,casa,180,6,3,33,0,no,bueno,C,sí,8,775,4,anuncio175@example.org,sí
VIV-176,Ejea de los Caballeros,piso,55,1,1,95,1,no,a reformar,G,no,3,205,1,anuncio176@example.org,sí
VIV-177,Tauste,piso,103,3,2,11,4,sí,reformado,C,no,15,540,23,anuncio177@example.org,sí
VIV-178,Ejea de los Caballeros,casa,152,6,2,33,0,no,reformado,C,sí,2,775,7,anuncio178@example.org,sí
VIV-179,Tauste,adosado,110,3,2,48,0,no,bueno,D,no,18,530,29,anuncio179@example.org,sí
VIV-180,Sos del Rey Católico,casa,125,3,2,28,0,no,bueno,B,no,2,415,10,anuncio180@example.org,sí
VIV-181,Ejea de los Caballeros,piso,110,3,2,68,3,sí,bueno,E,no,15,575,15,anuncio181@example.org,sí
VIV-182,Erla,piso,71,2,1,95,0,no,bueno,G,no,4,195,3,anuncio182@example.org,sí
VIV-183,Tauste,casa,112,4,2,35,0,no,a reformar,D,sí,4,390,2,anuncio183@example.org,sí
VIV-184,Ejea de los Caballeros,piso,50,1,1,60,3,sí,bueno,D,sí,16,280,18,anuncio184@example.org,sí
VIV-185,Erla,casa,146,6,2,16,0,no,a reformar,C,sí,4,355,2,anuncio185@example.org,sí
VIV-186,Uncastillo,piso,96,4,2,26,3,no,bueno,C,sí,7,340,30,anuncio186@example.org,sí
VIV-187,Tauste,piso,53,3,1,52,2,sí,a reformar,F,no,7,240,9,anuncio187@example.org,sí
VIV-188,Uncastillo,casa,102,3,2,48,0,no,a reformar,C,sí,2,245,1,anuncio188@example.org,sí
VIV-189,Tauste,piso,61,2,1,28,0,no,bueno,C,no,4,250,2,anuncio189@example.org,sí
VIV-190,Ejea de los Caballeros,casa,234,6,3,16,0,no,nuevo,A,no,20,1190,34,anuncio190@example.org,no
VIV-191,Ejea de los Caballeros,piso,109,3,2,45,5,sí,bueno,D,sí,16,550,20,anuncio191@example.org,sí
VIV-192,Tauste,piso,73,2,1,49,3,no,bueno,D,sí,10,325,9,anuncio192@example.org,sí
VIV-193,Ejea de los Caballeros,casa,93,3,2,33,0,no,nuevo,C,no,5,450,8,anuncio193@example.org,sí
VIV-194,Ejea de los Caballeros,piso,77,3,1,11,3,sí,bueno,B,no,10,375,7,anuncio194@example.org,sí
VIV-195,Tauste,casa,167,6,2,4,0,no,a reformar,B,sí,9,565,4,anuncio195@example.org,sí
VIV-196,Tauste,piso,57,1,1,39,3,sí,reformado,C,sí,18,345,84,anuncio196@example.org,no
VIV-197,Ejea de los Caballeros,piso,58,2,1,7,3,sí,reformado,A,sí,21,390,55,anuncio197@example.org,no
VIV-198,Uncastillo,casa,197,6,3,19,0,no,bueno,C,sí,1,550,3,anuncio198@example.org,sí
VIV-199,Ejea de los Caballeros,piso,104,3,2,37,4,sí,reformado,D,sí,21,615,40,anuncio199@example.org,no
VIV-200,Ejea de los Caballeros,piso,92,2,2,61,1,sí,bueno,F,no,19,525,37,anuncio200@example.org,no
VIV-201,Ejea de los Caballeros,casa,182,6,3,54,0,no,reformado,E,sí,12,1005,19,anuncio201@example.org,sí
VIV-202,Tauste,piso,112,3,2,30,0,sí,bueno,B,sí,12,535,25,anuncio202@example.org,sí
VIV-203,Ejea de los Caballeros,piso,115,5,2,50,2,sí,bueno,E,no,5,565,7,anuncio203@example.org,sí
VIV-204,Luna,piso,106,3,2,76,1,no,nuevo,D,sí,10,425,74,anuncio204@example.org,no
VIV-205,Ejea de los Caballeros,piso,128,4,2,89,0,no,bueno,G,no,1,480,1,anuncio205@example.org,sí
VIV-206,Ejea de los Caballeros,adosado,122,5,2,29,0,no,nuevo,C,sí,18,715,38,anuncio206@example.org,no
VIV-207,Tauste,casa,191,6,3,34,0,no,nuevo,B,sí,18,910,37,anuncio207@example.org,no
VIV-208,Ejea de los Caballeros,piso,121,4,2,26,3,sí,reformado,B,no,12,700,31,anuncio208@example.org,no
VIV-209,Ejea de los Caballeros,piso,86,2,2,31,5,sí,nuevo,D,sí,19,560,99,anuncio209@example.org,no
VIV-210,Ejea de los Caballeros,piso,67,2,1,12,3,sí,reformado,B,sí,10,395,23,anuncio210@example.org,sí
VIV-211,Erla,piso,92,4,2,33,4,sí,bueno,E,sí,8,345,127,anuncio211@example.org,no
VIV-212,Ejea de los Caballeros,piso,121,4,2,30,5,sí,bueno,C,sí,20,665,50,anuncio212@example.org,no
VIV-213,Sádaba,casa,222,6,3,43,0,no,a reformar,D,sí,7,705,5,anuncio213@example.org,sí
VIV-214,Erla,casa,211,6,3,14,0,no,bueno,B,sí,4,660,20,anuncio214@example.org,sí
VIV-215,Erla,casa,144,5,2,33,0,no,bueno,D,sí,9,480,49,anuncio215@example.org,no
VIV-216,Tauste,piso,58,1,1,27,0,sí,a reformar,D,sí,4,215,1,anuncio216@example.org,sí
VIV-217,Tauste,piso,114,2,2,7,2,sí,nuevo,A,sí,20,695,71,anuncio217@example.org,no
VIV-218,Luna,piso,100,3,2,40,0,no,bueno,E,no,3,390,20,anuncio218@example.org,sí
VIV-219,Luna,adosado,151,5,2,14,0,no,a reformar,A,sí,2,385,1,anuncio219@example.org,sí
VIV-220,Sádaba,adosado,164,5,2,15,0,no,nuevo,A,sí,13,815,134,anuncio220@example.org,no
VIV-221,Ejea de los Caballeros,adosado,121,3,2,28,0,no,bueno,B,sí,8,575,15,anuncio221@example.org,sí
VIV-222,Biota,piso,118,4,2,19,2,sí,bueno,C,sí,6,455,126,anuncio222@example.org,no
VIV-223,Sádaba,casa,109,3,2,9,0,no,nuevo,B,sí,14,480,32,anuncio223@example.org,no
VIV-224,Ejea de los Caballeros,casa,144,3,2,43,0,no,nuevo,D,no,8,710,10,anuncio224@example.org,sí
VIV-225,Luna,casa,206,6,3,69,0,no,a reformar,G,no,3,470,2,anuncio225@example.org,sí
VIV-226,Ejea de los Caballeros,casa,161,6,2,52,0,no,a reformar,F,sí,4,480,1,anuncio226@example.org,sí
VIV-227,Ejea de los Caballeros,piso,61,2,1,81,3,sí,bueno,G,no,6,290,9,anuncio227@example.org,sí
VIV-228,Ejea de los Caballeros,piso,110,4,2,21,5,sí,bueno,D,sí,24,715,183,anuncio228@example.org,no
VIV-229,Luna,casa,160,5,2,8,0,no,reformado,A,sí,9,695,187,anuncio229@example.org,no
VIV-230,Ejea de los Caballeros,casa,101,3,2,15,0,no,reformado,A,sí,7,480,5,anuncio230@example.org,sí
VIV-231,Ejea de los Caballeros,piso,63,3,1,42,3,sí,bueno,B,sí,23,395,90,anuncio231@example.org,no
VIV-232,Ejea de los Caballeros,piso,95,2,2,18,4,sí,reformado,B,no,17,585,98,anuncio232@example.org,no
VIV-233,Ejea de los Caballeros,casa,151,5,2,39,0,no,bueno,C,no,4,645,2,anuncio233@example.org,sí
VIV-234,Sos del Rey Católico,piso,128,5,2,32,3,sí,bueno,D,sí,5,410,5,anuncio234@example.org,sí
VIV-235,Tauste,piso,64,2,1,14,2,sí,nuevo,C,sí,28,395,90,anuncio235@example.org,no
VIV-236,Tauste,piso,49,1,1,51,4,sí,bueno,E,no,13,255,28,anuncio236@example.org,sí
VIV-237,Tauste,piso,103,3,2,29,5,sí,bueno,C,sí,24,495,42,anuncio237@example.org,no
VIV-238,Tauste,casa,113,3,2,44,0,no,bueno,D,sí,7,445,6,anuncio238@example.org,sí
VIV-239,Sos del Rey Católico,piso,123,4,2,33,1,sí,bueno,D,sí,6,450,8,anuncio239@example.org,sí
VIV-240,Sos del Rey Católico,casa,233,6,3,64,0,no,reformado,D,sí,7,830,7,anuncio240@example.org,sí
VIV-241,Ejea de los Caballeros,piso,128,5,2,35,0,sí,bueno,C,sí,27,670,40,anuncio241@example.org,no
VIV-242,Erla,piso,83,3,2,15,0,no,bueno,C,sí,5,300,121,anuncio242@example.org,no
